# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2392 14296 0  3636
      409      4686 0
      409      4697 0
      410      4677 -0.05555555555555725944
      410      4686 -0.22222222222222656751
      410      4697 -0.05555555555555725944
      415      3683 0
      415      3684 0
      415      3686 0
      416      3683 0.055555555555551694447
      416      3684 0.22222222222221815757
      416      3686 0.055555555555552055269
      417      4670 0
      417      4677 0
      417      4686 0
      418      4670 -0.055555555555557592506
      418      4677 -0.22222222222222373644
      418      4686 -0.055555555555551708324
      425      3684 0
      425      3686 0
      425      3687 0
      426      3684 0.055555555555554518576
      426      3686 0.22222222222222343113
      426      3687 0.055555555555556905556
      427      4670 0
      427      4677 0
      427      4692 0
      428      4670 -0.22222222222222098864
      428      4677 -0.055555555555554511638
      428      4692 -0.055555555555554442249
      433      3686 0
      433      3687 0
      433      3689 0
      434      3686 0.05555555555555443531
      434      3687 0.22222222222221615917
      434      3689 0.055555555555554442249
      435      4670 0
      435      4689 0
      435      4692 0
      436      4670 -0.055555555555556912495
      436      4689 -0.05555555555555725944
      436      4692 -0.22222222222222381971
      437      3687 0
      437      3689 0
      437      3692 0
      438      3687 0.055555555555556905556
      438      3689 0.22222222222222345889
      438      3692 0.055555555555554511638
      443      4685 0
      443      4689 0
      443      4692 0
      444      4685 -0.055555555555556898617
      444      4689 -0.22222222222222381971
      444      4692 -0.055555555555557252501
      445      4681 0
      445      4685 0
      445      4689 0
      446      4681 -0.055555555555554518576
      446      4685 -0.22222222222222098864
      446      4689 -0.055555555555554442249
      447      3689 0
      447      3692 0
      447      3696 0
      448      3689 0.055555555555552055269
      448      3692 0.22222222222221849064
      448      3696 0.05555555555555443531
      453      4675 0
      453      4681 0
      453      4685 0
      454      4675 -0.055555555555551694447
      454      4681 -0.22222222222222370869
      454      4685 -0.055555555555557599445
      455      3692 0
      455      3696 0
      455      3697 0
      456      3692 0.055555555555556912495
      456      3696 0.22222222222222107191
      456      3697 0.055555555555556905556
      461      4673 0
      461      4675 0
      461      4681 0
      462      4673 -0.055555555555556905556
      462      4675 -0.22222222222222381971
      462      4681 -0.055555555555557252501
      463      3696 0
      463      3697 0
      463      3700 0
      464      3696 0.055555555555554428371
      464      3697 0.22222222222221613142
      464      3700 0.05555555555555443531
      469      4666 0
      469      4673 0
      469      4675 0
      470      4666 -0.05555555555555725944
      470      4673 -0.22222222222222132171
      470      4675 -0.055555555555554442249
      471      3697 0
      471      3700 0
      471      3703 0
      472      3697 0.055555555555556905556
      472      3700 0.22222222222222379195
      472      3703 0.055555555555557252501
      477      4663 0
      477      4666 0
      477      4673 0
      478      4663 -0.055555555555552041391
      478      4666 -0.22222222222222373644
      478      4673 -0.055555555555557252501
      479      3700 0
      479      3703 0
      479      3706 0
      480      3700 0.055555555555551708324
      480      3703 0.22222222222221577059
      480      3706 0.055555555555554428371
      485      4663 0
      485      4666 0
      485      4696 0
      486      4663 -0.22222222222222620669
      486      4666 -0.055555555555554511638
      486      4696 -0.05555555555555725944
      487      3703 0
      487      3706 0
      487      3708 0
      488      3703 0.055555555555556905556
      488      3706 0.22222222222222107191
      488      3708 0.055555555555556905556
      493      4659 0
      493      4663 0
      493      4696 0
      494      4659 -0.055555555555556912495
      494      4663 -0.055555555555557252501
      494      4696 -0.22222222222222381971
      495      3677 0
      495      3706 0
      495      3708 0
      496      3677 0.055555555555552055269
      496      3706 0.05555555555555443531
      496      3708 0.22222222222221851839
      497      4659 0
      497      4691 0
      497      4696 0
      498      4659 -0.22222222222222132171
      498      4691 -0.05555555555555725944
      498      4696 -0.055555555555554442249
      503      3677 0
      503      3708 0
      503      3710 0
      504      3677 0.22222222222222343113
      504      3708 0.055555555555554511638
      504      3710 0.055555555555556905556
      505      4659 0
      505      4688 0
      505      4691 0
      506      4659 -0.055555555555557252501
      506      4688 -0.055555555555551701385
      506      4691 -0.22222222222222096089
      511      3677 0
      511      3710 0
      511      3712 0
      512      3677 0.055555555555554442249
      512      3710 0.22222222222221613142
      512      3712 0.055555555555554428371
      513      4684 0
      513      4688 0
      513      4691 0
      514      4684 -0.055555555555556912495
      514      4688 -0.22222222222222381971
      514      4691 -0.05555555555555725944
      515      3710 0
      515      3712 0
      515      3713 0
      516      3710 0.055555555555556905556
      516      3712 0.22222222222222379195
      516      3713 0.055555555555557252501
      521      4683 0
      521      4684 0
      521      4688 0
      522      4683 -0.055555555555557252501
      522      4684 -0.22222222222222132171
      522      4688 -0.055555555555554442249
      523      3712 0
      523      3713 0
      523      3715 0
      524      3712 0.055555555555551708324
      524      3713 0.22222222222221815757
      524      3715 0.055555555555552055269
      529      4680 0
      529      4683 0
      529      4684 0
      530      4680 -0.055555555555554442249
      530      4683 -0.22222222222222132171
      530      4684 -0.055555555555557252501
      531      3713 0
      531      3715 0
      531      3716 0
      532      3713 0.055555555555554511638
      532      3715 0.22222222222222343113
      532      3716 0.055555555555556905556
      537      4678 0
      537      4680 0
      537      4683 0
      538      4678 -0.055555555555554511638
      538      4680 -0.22222222222222345889
      538      4683 -0.055555555555556905556
      541      3715 0
      541      3716 0
      541      3719 0
      542      3715 0.055555555555554428371
      542      3716 0.22222222222221613142
      542      3719 0.055555555555554428371
      547      4676 0
      547      4678 0
      547      4680 0
      548      4676 -0.055555555555557252501
      548      4678 -0.22222222222222370869
      548      4680 -0.05555555555555204833
      551      3716 0
      551      3719 0
      551      3720 0
      552      3716 0.055555555555556905556
      552      3719 0.22222222222222345889
      552      3720 0.055555555555554511638
      553      4674 0
      553      4676 0
      553      4678 0
      554      4674 -0.055555555555554442249
      554      4676 -0.22222222222222132171
      554      4678 -0.055555555555557245562
      559      3719 0
      559      3720 0
      559      3721 0
      560      3719 0.055555555555552055269
      560      3720 0.22222222222221849064
      560      3721 0.055555555555554428371
      561      3720 0
      561      3721 0
      561      3722 0
      562      3720 0.055555555555556905556
      562      3721 0.22222222222222107191
      562      3722 0.055555555555556905556
      563      4672 0
      563      4674 0
      563      4676 0
